,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
1008,Sanganguey,Stratovolcano,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,21,21,101.0,7622.0,403964.0,993475.0,2340,7677
1009,Sangay,Stratovolcano,Ecuador,South America,Ecuador,holocene,2022 CE,2,2,231.0,1675.0,15130.0,1355275.0,5286,17343
1010,Sangeang Api,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2020 CE,8,8,204.0,1155.0,39301.0,809132.0,1912,6273
1011,"Sano, Wai",Caldera,Indonesia,Indonesia,Lesser Sunda Islands,holocene,Unknown - Evidence Credible,8,8,127347.0,127347.0,242184.0,831863.0,1319,4327
1012,Santa Ana,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,2005 CE,13,13,489.0,21653.0,1240131.0,6486880.0,2381,7812
1013,Santa Cruz,Shield,Ecuador,South America,Galapagos Islands,holocene,Unknown - Evidence Credible,0,0,8529.0,8529.0,8800.0,18434.0,864,2835
1014,Santa Isabel,Shield,Equatorial Guinea,Africa and Red Sea,Africa (western),holocene,1923 CE,3,3,95977.0,95977.0,117500.0,506900.0,2999,9839
1015,Santa Isabel,Shield,Colombia,South America,Colombia,holocene,850 BCE,4,4,4793.0,12226.0,302952.0,4137147.0,4944,16220
1016,Santa Maria,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,2022 CE,14,14,8675.0,119462.0,1259600.0,6197420.0,3745,12287
1017,Santiago,Shield,Ecuador,South America,Galapagos Islands,holocene,1906 CE,0,0,74.0,74.0,104.0,12001.0,920,3018
1018,"Santiago, Cerro",Volcanic field,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,14,14,226325.0,226325.0,405083.0,8210264.0,1192,3911
